Id,Name,Mileage,Year,Price,URL
20 (69 reg),"£18,300",https://www.autotrader.co.uk/car-details/202311133905101?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
2,BMW 1 Series,"72,000 miles",2010 (60 reg),"£1,600",https://www.autotrader.co.uk/car-details/202306208736782?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
3,BMW 1 Series,"135,679 miles",2009 (59 reg),"£2,250",https://www.autotrader.co.uk/car-details/202311143952559?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
4,BMW 1 Series,"86,000 miles",2011 (11 reg),"£2,490",https://www.autotrader.co.uk/car-details/202304176369969?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
5,BMW 1 Series,"96,000 miles",2017,"£2,980",https://www.autotrader.co.uk/car-details/202310213221982?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
6,BMW 1 Series,"126,000 miles",2013 (62 reg),"£3,000",https://www.autotrader.co.uk/car-details/202310233257540?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
7,BMW 1 Series,"94,000 miles",2011 (11 reg),"£2,995",https://www.autotrader.co.uk/car-details/202305067075448?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
8,BMW 1 Series,"87,000 miles",2010 (10 reg),"£2,550",https://www.autotrader.co.uk/car-details/202309041521586?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
9,BMW 1 Series,"89,900 miles",2007 (57 reg),"£2,495",https://www.autotrader.co.uk/car-details/202310102842277?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
10,BMW 1 Series,"78,000 miles",2012 (12 reg),"£5,995",https://www.autotrader.co.uk/car-details/202311083762816?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
11,BMW 1 Series,"106,000 miles",2013 (63 reg),"£4,500",https://www.autotrader.co.uk/car-details/202310102843880?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
12,BMW 1 Series,"104,070 miles",2012 (62 reg),"£4,999",https://www.autotrader.co.uk/car-details/202310233265916?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
13,Mercedes-Benz A Class,"52,376 miles",2014 (64 reg),"£14,049",https://www.autotrader.co.uk/car-details/202309222247364?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&postcode=NW1%209PQ&year-to=2023&fromsra
14,BMW 1 Series,"37,553 miles",2020 (69 reg),"£18,300",https://www.autotrader.co.uk/car-details/202311133905101?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
15,BMW 1 Series,"185,000 miles",2009 (59 reg),"£1,890",https://www.autotrader.co.uk/car-details/202302124189538?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
16,BMW 1 Series,"141,274 miles",2008 (58 reg),"£2,495",https://www.autotrader.co.uk/car-details/202311133924718?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
17,BMW 1 Series,"110,000 miles",2009 (59 reg),"£2,490",https://www.autotrader.co.uk/car-details/202303275661468?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
18,BMW 1 Series,"97,000 miles",2010 (60 reg),"£2,995",https://www.autotrader.co.uk/car-details/202311063684257?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
19,BMW 1 Series,"125,000 miles",2008 (58 reg),"£1,940",https://www.autotrader.co.uk/car-details/202309141975743?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
20,BMW 1 Series,"92,703 miles",2006 (06 reg),"£2,495",https://www.autotrader.co.uk/car-details/202311053673631?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
21,BMW 1 Series,"78,450 miles",2012 (12 reg),"£7,085",https://www.autotrader.co.uk/car-details/202311133902268?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
22,BMW 1 Series,"107,000 miles",2009 (09 reg),"£2,999",https://www.autotrader.co.uk/car-details/202310052708939?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
23,BMW 1 Series,"109,536 miles",2008 (08 reg),"£2,995",https://www.autotrader.co.uk/car-details/202306148497360?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
24,BMW 1 Series,"128,800 miles",2008 (58 reg),"£1,790",https://www.autotrader.co.uk/car-details/202307029197542?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
25,BMW 1 Series,"85,550 miles",2013 (13 reg),"£7,199",https://www.autotrader.co.uk/car-details/202310122919542?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
26,Audi A3,"35,116 miles",2020 (20 reg),"£20,790",https://www.autotrader.co.uk/car-details/202311023567130?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=2&postcode=NW1%209PQ&year-to=2023&fromsra
27,BMW 1 Series,"22,242 miles",2020 (20 reg),"£19,400",https://www.autotrader.co.uk/car-details/202308110684576?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
28,BMW 1 Series,"91,000 miles",2007 (07 reg),"£1,795",https://www.autotrader.co.uk/car-details/202308301352370?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
29,BMW 1 Series,"124,000 miles",2009 (59 reg),"£2,500",https://www.autotrader.co.uk/car-details/202310193143397?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
30,BMW 1 Series,"73,000 miles",2012 (62 reg),"£7,500",https://www.autotrader.co.uk/car-details/202309081743994?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
31,BMW 1 Series,"79,000 miles",2014 (14 reg),"£5,499",https://www.autotrader.co.uk/car-details/202311113871263?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
32,BMW 1 Series,"168,000 miles",2011 (61 reg),"£2,599",https://www.autotrader.co.uk/car-details/202310313507849?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
33,BMW 1 Series,"139,082 miles",2004 (54 reg),"£1,350",https://www.autotrader.co.uk/car-details/202309131935445?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
34,BMW 1 Series,"85,000 miles",2009 (09 reg),"£2,495",https://www.autotrader.co.uk/car-details/202311083772678?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
35,BMW 1 Series,"134,368 miles",2006 (56 reg),"£1,295",https://www.autotrader.co.uk/car-details/202311123893105?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
36,BMW 1 Series,"72,860 miles",2012 (12 reg),"£6,485",https://www.autotrader.co.uk/car-details/202310142983861?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
37,BMW 1 Series,"58,000 miles",2014 (64 reg),"£7,990",https://www.autotrader.co.uk/car-details/202310052709047?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
38,BMW 1 Series,"72,000 miles",2010 (60 reg),"£1,600",https://www.autotrader.co.uk/car-details/202306208736782?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
39,Audi A3,"46,738 miles",2020 (69 reg),"£21,950",https://www.autotrader.co.uk/car-details/202309302512052?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=3&postcode=NW1%209PQ&year-to=2023&fromsra
40,BMW 1 Series,"55,370 miles",2019 (19 reg),"£13,900",https://www.autotrader.co.uk/car-details/202311123874388?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
41,BMW 1 Series,"85,587 miles",2008 (08 reg),"£2,850",https://www.autotrader.co.uk/car-details/202311143932648?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
42,BMW 1 Series,"89,000 miles",2014 (63 reg),"£6,450",https://www.autotrader.co.uk/car-details/202310273410592?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
43,BMW 1 Series,"119,900 miles",2010 (10 reg),"£2,850",https://www.autotrader.co.uk/car-details/202309021484513?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
44,BMW 1 Series,"100,000 miles",2008 (58 reg),"£2,500",https://www.autotrader.co.uk/car-details/202304066055320?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
45,BMW 1 Series,"80,000 miles",2007 (57 reg),"£1,290",https://www.autotrader.co.uk/car-details/202212082387346?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
46,BMW 1 Series,"109,000 miles",2007 (07 reg),"£2,890",https://www.autotrader.co.uk/car-details/202309292479725?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
47,BMW 1 Series,"83,426 miles",2005 (05 reg),"£2,995",https://www.autotrader.co.uk/car-details/202311113863382?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
48,BMW 1 Series,"99,000 miles",2009 (59 reg),"£2,795",https://www.autotrader.co.uk/car-details/202311093797254?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
49,BMW 1 Series,"144,898 miles",2009 (59 reg),"£1,695",https://www.autotrader.co.uk/car-details/202311033604555?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
50,BMW 1 Series,"89,000 miles",2005 (55 reg),"£1,975",https://www.autotrader.co.uk/car-details/202311143948541?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
51,BMW 1 Series,"79,000 miles",2014 (14 reg),"£5,499",https://www.autotrader.co.uk/car-details/202311113871263?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
52,Audi A3,"35,116 miles",2020 (20 reg),"£20,790",https://www.autotrader.co.uk/car-details/202311023567130?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=4&postcode=NW1%209PQ&year-to=2023&fromsra
53,BMW 1 Series,"49,908 miles",2018 (67 reg),"£11,000",https://www.autotrader.co.uk/car-details/202311123890861?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
54,BMW 1 Series,"97,757 miles",2013 (13 reg),"£4,990",https://www.autotrader.co.uk/car-details/202311093783298?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
55,BMW 1 Series,"150,000 miles",2011 (60 reg),"£3,199",https://www.autotrader.co.uk/car-details/202311103839682?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
56,BMW 1 Series,"80,000 miles",2015 (65 reg),"£8,590",https://www.autotrader.co.uk/car-details/202310203170750?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
57,BMW 1 Series,"117,887 miles",2012 (12 reg),"£3,325",https://www.autotrader.co.uk/car-details/202311133926080?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
58,BMW 1 Series,"33,099 miles",2012 (12 reg),"£9,970",https://www.autotrader.co.uk/car-details/202310303479151?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
59,BMW 1 Series,"105,000 miles",2005 (05 reg),"£1,690",https://www.autotrader.co.uk/car-details/202305057045071?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
60,BMW 1 Series,"90,000 miles",2014 (14 reg),"£5,500",https://www.autotrader.co.uk/car-details/202310243307157?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
61,BMW 1 Series,"87,000 miles",2012 (12 reg),"£5,995",https://www.autotrader.co.uk/car-details/202310193157286?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
62,BMW 1 Series,"77,000 miles",2012 (62 reg),"£7,795",https://www.autotrader.co.uk/car-details/202311073741531?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
63,BMW 1 Series,"105,000 miles",2010 (60 reg),"£2,499",https://www.autotrader.co.uk/car-details/202310223233975?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
64,BMW 1 Series,"88,000 miles",2012 (62 reg),"£5,200",https://www.autotrader.co.uk/car-details/202309041521643?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
65,Audi A3,"64,115 miles",2016 (66 reg),"£13,990",https://www.autotrader.co.uk/car-details/202310102859283?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=5&postcode=NW1%209PQ&year-to=2023&fromsra
66,BMW 1 Series,"51,455 miles",2020 (70 reg),"£15,600",https://www.autotrader.co.uk/car-details/202311133905100?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
67,BMW 1 Series,"115,362 miles",2013 (63 reg),"£5,999",https://www.autotrader.co.uk/car-details/202311143952889?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
68,BMW 1 Series,"77,700 miles",2012 (12 reg),"£6,490",https://www.autotrader.co.uk/car-details/202309152012099?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
69,BMW 1 Series,"130,600 miles",2010 (60 reg),"£4,400",https://www.autotrader.co.uk/car-details/202311013522042?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
70,BMW 1 Series,"77,000 miles",2005 (05 reg),"£2,990",https://www.autotrader.co.uk/car-details/202310052706673?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
71,BMW 1 Series,"88,000 miles",2012 (62 reg),"£5,200",https://www.autotrader.co.uk/car-details/202309041521643?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
72,BMW 1 Series,"91,000 miles",2014 (63 reg),"£6,900",https://www.autotrader.co.uk/car-details/202308231101821?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
73,BMW 1 Series,"145,000 miles",2004 (54 reg),"£1,800",https://www.autotrader.co.uk/car-details/202305097171990?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
74,BMW 1 Series,"101,915 miles",2010 (60 reg),"£4,500",https://www.autotrader.co.uk/car-details/202310203174995?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
75,BMW 1 Series,"122,645 miles",2012 (12 reg),"£2,599",https://www.autotrader.co.uk/car-details/202311033633029?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
76,BMW 1 Series,"126,000 miles",2012 (62 reg),"£4,450",https://www.autotrader.co.uk/car-details/202310253324816?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
77,BMW 1 Series,"106,000 miles",2013 (63 reg),"£4,500",https://www.autotrader.co.uk/car-details/202310102843880?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
78,Volkswagen Scirocco,"91,897 miles",2017 (17 reg),"£11,149",https://www.autotrader.co.uk/car-details/202310142988859?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=6&postcode=NW1%209PQ&year-to=2023&fromsra
79,BMW 1 Series,"55,370 miles",2019 (19 reg),"£13,900",https://www.autotrader.co.uk/car-details/202311123874388?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
80,BMW 1 Series,"131,000 miles",2011 (11 reg),"£2,895",https://www.autotrader.co.uk/car-details/202309131939357?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
81,BMW 1 Series,"80,000 miles",2011 (11 reg),"£3,600",https://www.autotrader.co.uk/car-details/202307310254200?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
82,BMW 1 Series,"65,000 miles",2014 (14 reg),"£5,990",https://www.autotrader.co.uk/car-details/202310283418513?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
83,BMW 1 Series,"110,000 miles",2012 (12 reg),"£4,500",https://www.autotrader.co.uk/car-details/202311113855088?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
84,BMW 1 Series,"129,976 miles",2013 (13 reg),"£6,500",https://www.autotrader.co.uk/car-details/202311133919513?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
85,BMW 1 Series,"113,000 miles",2009 (59 reg),"£2,395",https://www.autotrader.co.uk/car-details/202309182110971?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
86,BMW 1 Series,"115,273 miles",2011 (61 reg),"£3,399",https://www.autotrader.co.uk/car-details/202311043656889?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
87,BMW 1 Series,"108,950 miles",2006 (56 reg),"£1,749",https://www.autotrader.co.uk/car-details/202310102853624?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
88,BMW 1 Series,"50,000 miles",2016 (66 reg),"£11,995",https://www.autotrader.co.uk/car-details/202311093786027?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
89,BMW 1 Series,"65,000 miles",2009 (59 reg),"£4,495",https://www.autotrader.co.uk/car-details/202309222275863?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
90,BMW 1 Series,"106,000 miles",2013 (63 reg),"£4,500",https://www.autotrader.co.uk/car-details/202310102843880?journey=PROMOTED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
91,Audi A3,"46,571 miles",2018 (18 reg),"£16,690",https://www.autotrader.co.uk/car-details/202310132955334?journey=YOU_MAY_ALSO_LIKE_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=7&postcode=NW1%209PQ&year-to=2023&fromsra
92,BMW 1 Series,"17,228 miles",2020 (20 reg),"£17,000",https://www.autotrader.co.uk/car-details/202311123890852?journey=FEATURED_LISTING_JOURNEY&sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=8&postcode=NW1%209PQ&year-to=2023&fromsra
93,BMW 1 Series,"80,000 miles",2009 (09 reg),"£3,899",https://www.autotrader.co.uk/car-details/202310313505083?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=8&postcode=NW1%209PQ&year-to=2023&fromsra
94,BMW 1 Series,"130,000 miles",2010 (10 reg),"£2,359",https://www.autotrader.co.uk/car-details/202303034853579?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=8&postcode=NW1%209PQ&year-to=2023&fromsra
95,BMW 1 Series,"104,070 miles",2012 (62 reg),"£4,999",https://www.autotrader.co.uk/car-details/202310233265916?sort=relevance&advertising-location=at_cars&include-delivery-option=on&make=BMW&model=1%20Series&page=8&postcode=NW1%209PQ&year-to=2023&fromsra
